ds,yhat,yhat_lower,yhat_upper,Vehicle_Category
2014-01-01,91.80670458826056,39.776892635958845,210.52167879246775,2-Wheelers
2014-02-01,94.97989789748856,40.084072685823024,203.01857536125488,2-Wheelers
2014-03-01,117.97435318120961,49.35170278698543,255.35612629604418,2-Wheelers
2014-04-01,80.72793391639196,33.520160486163086,175.4747497045757,2-Wheelers
2014-05-01,77.18044941387738,33.011983504329706,163.33052050909203,2-Wheelers
2014-06-01,88.25600618836738,37.332413325436576,197.83282034416584,2-Wheelers
2014-07-01,94.85857593247297,41.10637747169498,225.4194588668167,2-Wheelers
2014-08-01,95.68135731791655,40.352053114603116,219.56606636939193,2-Wheelers
2014-09-01,100.05480850448542,45.793256224916234,226.28453520302585,2-Wheelers
2014-10-01,110.64032434270713,48.867394186754574,269.43394865618785,2-Wheelers
2014-11-01,118.78162377200601,50.51851863841151,277.9910692847711,2-Wheelers
2014-12-01,113.25315012263422,47.60957859227784,237.94079886381763,2-Wheelers
2015-01-01,111.65935364547373,49.862599633299105,258.7631743248836,2-Wheelers
2015-02-01,114.1981558823675,51.643397106759515,257.1624766775208,2-Wheelers
2015-03-01,144.47229744362016,61.953297868802714,340.13413708034744,2-Wheelers
2015-04-01,104.98846709841975,44.23569862465228,248.72305152631031,2-Wheelers
2015-05-01,96.77994077499775,42.77906234019052,221.72704398358795,2-Wheelers
2015-06-01,104.9391039829208,46.49154734960486,245.18862533930098,2-Wheelers
2015-07-01,113.57415588615655,49.16202520020168,247.9727605211195,2-Wheelers
2015-08-01,117.13782543379698,52.20115528039508,281.48418999606173,2-Wheelers
2015-09-01,122.98839772238263,54.61598393263427,282.0790822325855,2-Wheelers
2015-10-01,139.51398663884945,60.002954113618415,303.62127158606654,2-Wheelers
2015-11-01,150.69962281492047,69.03452847768735,342.65983410509176,2-Wheelers
2015-12-01,139.6711570811341,62.74639761958114,308.9230196826761,2-Wheelers
2016-01-01,135.49736496305218,60.78142004431943,310.4662440245685,2-Wheelers
2016-02-01,136.95217187995178,57.25297597183626,325.45296821979946,2-Wheelers
2016-03-01,190.88080581241684,84.94281138631911,426.91685211461225,2-Wheelers
2016-04-01,107.15354881953525,47.80519983643815,237.84259363981124,2-Wheelers
2016-05-01,108.66516892212567,45.89200440926637,236.08849303241334,2-Wheelers
2016-06-01,141.8144563026216,60.77909897803217,319.16026767161156,2-Wheelers
2016-07-01,152.40260587290163,68.995721144513,343.61742033097767,2-Wheelers
2016-08-01,147.19848048751697,66.92203285330928,339.5207771007185,2-Wheelers
2016-09-01,153.8809128587567,66.11462678772043,337.70109180303456,2-Wheelers
2016-10-01,164.08666802303912,73.90113604376491,360.9569241334472,2-Wheelers
2016-11-01,175.67924288203517,78.03637593596407,396.81446552181194,2-Wheelers
2016-12-01,178.3297427487618,81.20904049226895,429.3245209254809,2-Wheelers
2017-01-01,184.06996847719492,83.51224283674927,406.45634240420003,2-Wheelers
2017-02-01,196.90401482538522,86.64543752769134,459.7208184070439,2-Wheelers
2017-03-01,253.58658050317865,111.72992693062356,552.6149459374815,2-Wheelers
2017-04-01,155.41165520603346,71.82631808280004,356.7904836531229,2-Wheelers
2017-05-01,157.5979074977,70.38851107019217,360.516344320137,2-Wheelers
2017-06-01,203.09662464152794,87.75560822591008,458.60311619213155,2-Wheelers
2017-07-01,227.3448866992164,106.26243469691956,503.9893381818258,2-Wheelers
2017-08-01,235.69057177254294,103.66978116323514,543.8441366207379,2-Wheelers
2017-09-01,260.69394864088633,115.4230028239718,575.3865968326568,2-Wheelers
2017-10-01,301.28432392854194,138.13517187319468,704.8466888309617,2-Wheelers
2017-11-01,343.85548009865374,153.17429831346377,759.4368988871387,2-Wheelers
2017-12-01,354.627192929145,147.2754003586999,812.8423916339933,2-Wheelers
2018-01-01,377.1134269151959,170.93460545456938,850.1819695608968,2-Wheelers
2018-02-01,418.55213772933183,180.19262401850312,963.3554176269116,2-Wheelers
2018-03-01,588.7202946547067,264.51680894900824,1342.4461128140817,2-Wheelers
2018-04-01,377.1715283228071,167.1891060899993,810.1727300463369,2-Wheelers
2018-05-01,375.04830627439554,166.71877407405,853.7007601089807,2-Wheelers
2018-06-01,475.8507698708051,219.6970867055235,1062.2101567343725,2-Wheelers
2018-07-01,555.1623434667785,252.85314263535727,1318.8122207209108,2-Wheelers
2018-08-01,595.037309211261,230.9105636745995,1309.5653421981115,2-Wheelers
2018-09-01,670.6031456430715,321.02515339301857,1546.1533967711084,2-Wheelers
2018-10-01,816.7906555163213,354.17204374951785,1770.8072937223471,2-Wheelers
2018-11-01,957.6007344499378,404.54684596959396,2187.56806393194,2-Wheelers
2018-12-01,946.2536906135953,392.7507375257118,2093.771297288814,2-Wheelers
2019-01-01,981.7925600929507,464.05274339970765,2142.3190845773815,2-Wheelers
2019-02-01,1073.8020931483793,459.6322286836639,2392.885711409369,2-Wheelers
2019-03-01,1597.1919323609206,762.8923395585091,3685.010507675264,2-Wheelers
2019-04-01,1055.5716855521146,457.4612402632051,2312.8715004682904,2-Wheelers
2019-05-01,985.875547014639,439.8398963402945,2098.838509108482,2-Wheelers
2019-06-01,1174.584927114419,513.2239877267389,2715.2267447309523,2-Wheelers
2019-07-01,1395.1420606680415,622.8453016064192,3174.509446706668,2-Wheelers
2019-08-01,1544.5356343667959,680.6085974024229,3545.399442106833,2-Wheelers
2019-09-01,1758.0621647407245,755.8677823675422,3777.3057804709715,2-Wheelers
2019-10-01,2253.648983660244,1026.3470930725048,5419.107853921474,2-Wheelers
