date,State,Vehicle_Category,ev_sales
2014-02,Odisha,2-Wheelers,4.0
2014-02,Odisha,4-Wheelers,1.0
2014-02,Puducherry,2-Wheelers,0.0
2014-02,Puducherry,4-Wheelers,0.0
2014-02,Punjab,2-Wheelers,6.0
2014-02,Punjab,4-Wheelers,0.0
2014-02,Rajasthan,2-Wheelers,4.0
2014-02,Rajasthan,4-Wheelers,0.0
2014-02,Sikkim,2-Wheelers,0.0
2014-02,Sikkim,4-Wheelers,0.0
2014-02,Tamil Nadu,2-Wheelers,6.0
2014-02,Tamil Nadu,4-Wheelers,1.0
2014-02,Tripura,2-Wheelers,0.0
2014-02,Tripura,4-Wheelers,0.0
2014-02,Uttar Pradesh,2-Wheelers,9.0
2014-02,Uttar Pradesh,4-Wheelers,0.0
2014-02,Uttarakhand,2-Wheelers,3.0
2014-02,Uttarakhand,4-Wheelers,0.0
2014-02,West Bengal,2-Wheelers,0.0
2014-02,West Bengal,4-Wheelers,0.0
2014-03,Andaman & Nicobar Island,2-Wheelers,0.0
2014-03,Andaman & Nicobar Island,4-Wheelers,0.0
2014-03,Andhra Pradesh,2-Wheelers,0.0
2014-03,Andhra Pradesh,4-Wheelers,2.0
2014-03,Arunachal Pradesh,2-Wheelers,0.0
2014-03,Arunachal Pradesh,4-Wheelers,0.0
2014-03,Assam,2-Wheelers,0.0
2014-03,Assam,4-Wheelers,0.0
2014-03,Bihar,2-Wheelers,1.0
2014-03,Bihar,4-Wheelers,0.0
2014-03,Chandigarh,2-Wheelers,0.0
2014-03,Chandigarh,4-Wheelers,0.0
2014-03,Chhattisgarh,2-Wheelers,11.0
2014-03,Chhattisgarh,4-Wheelers,1.0
2014-03,DNH and DD,2-Wheelers,0.0
2014-03,DNH and DD,4-Wheelers,0.0
2014-03,Delhi,2-Wheelers,2.0
2014-03,Delhi,4-Wheelers,0.0
2014-03,Goa,2-Wheelers,0.0
2014-03,Goa,4-Wheelers,0.0
2014-03,Gujarat,2-Wheelers,1.0
2014-03,Gujarat,4-Wheelers,2.0
2014-03,Haryana,2-Wheelers,1.0
2014-03,Haryana,4-Wheelers,1.0
2014-03,Himachal Pradesh,2-Wheelers,0.0
2014-03,Himachal Pradesh,4-Wheelers,0.0
2014-03,Jammu and Kashmir,2-Wheelers,0.0
2014-03,Jammu and Kashmir,4-Wheelers,0.0
2014-03,Jharkhand,2-Wheelers,0.0
2014-03,Jharkhand,4-Wheelers,0.0
2014-03,Karnataka,2-Wheelers,23.0
2014-03,Karnataka,4-Wheelers,29.0
2014-03,Kerala,2-Wheelers,1.0
2014-03,Kerala,4-Wheelers,0.0
2014-03,Ladakh,2-Wheelers,0.0
2014-03,Ladakh,4-Wheelers,0.0
2014-03,Madhya Pradesh,2-Wheelers,4.0
2014-03,Madhya Pradesh,4-Wheelers,1.0
2014-03,Maharashtra,2-Wheelers,79.0
2014-03,Maharashtra,4-Wheelers,3.0
2014-03,Manipur,2-Wheelers,0.0
2014-03,Manipur,4-Wheelers,0.0
2014-03,Meghalaya,2-Wheelers,0.0
2014-03,Meghalaya,4-Wheelers,0.0
2014-03,Mizoram,2-Wheelers,0.0
2014-03,Mizoram,4-Wheelers,0.0
2014-03,Nagaland,2-Wheelers,0.0
2014-03,Nagaland,4-Wheelers,0.0
2014-03,Odisha,2-Wheelers,4.0
2014-03,Odisha,4-Wheelers,0.0
2014-03,Puducherry,2-Wheelers,0.0
2014-03,Puducherry,4-Wheelers,0.0
2014-03,Punjab,2-Wheelers,2.0
2014-03,Punjab,4-Wheelers,0.0
2014-03,Rajasthan,2-Wheelers,7.0
2014-03,Rajasthan,4-Wheelers,3.0
